epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
123,20064.7,1.44081,1.76725,0.01846,0.99993,0.66821,0.53233,0.59689,0.39928,1.34865,1.47197,0.02159,0,0.0069805,0.0069805,0.0069805,0.00349025,0.013961
124,20231.7,1.42772,1.75536,0.01846,0.99989,0.65558,0.54019,0.59766,0.39984,1.34837,1.46885,0.02159,0,0.00695575,0.00695575,0.00695575,0.00347788,0.0139115
125,20401.9,1.43082,1.7694,0.01846,0.99997,0.65486,0.54121,0.59841,0.40055,1.34763,1.46762,0.02157,0,0.006931,0.006931,0.006931,0.0034655,0.013862
126,20566.4,1.43338,1.76174,0.01855,1,0.66187,0.5396,0.59901,0.40095,1.34705,1.46553,0.02155,0,0.00690625,0.00690625,0.00690625,0.00345313,0.0138125
127,20730.7,1.42825,1.7614,0.01833,0.99975,0.66461,0.53811,0.59974,0.40167,1.34628,1.46387,0.02154,0,0.0068815,0.0068815,0.0068815,0.00344075,0.013763
128,20907.7,1.43656,1.76733,0.01836,0.99993,0.66207,0.5404,0.60063,0.40247,1.34561,1.46266,0.02152,0,0.00685675,0.00685675,0.00685675,0.00342838,0.0137135
129,21082.4,1.42921,1.75683,0.01835,0.99991,0.67087,0.53625,0.60133,0.40318,1.34487,1.4611,0.0215,0,0.006832,0.006832,0.006832,0.003416,0.013664
130,21259,1.42482,1.74409,0.01833,1.00001,0.66486,0.54199,0.60208,0.4041,1.34332,1.46112,0.02146,0,0.00680725,0.00680725,0.00680725,0.00340363,0.0136145
131,21428.9,1.42909,1.7515,0.01841,0.99995,0.65869,0.54711,0.60255,0.40449,1.34316,1.4598,0.02145,0,0.0067825,0.0067825,0.0067825,0.00339125,0.013565
132,21609.6,1.42646,1.75502,0.01842,0.99995,0.66288,0.54517,0.60295,0.40516,1.3426,1.45773,0.02143,0,0.00675775,0.00675775,0.00675775,0.00337887,0.0135155
133,21785,1.42935,1.76071,0.01832,0.9998,0.65918,0.55048,0.60341,0.40551,1.34202,1.45677,0.0214,0,0.006733,0.006733,0.006733,0.0033665,0.013466
134,21962,1.42071,1.73917,0.01836,1.00006,0.66079,0.55,0.60388,0.40615,1.34072,1.45621,0.02137,0,0.00670825,0.00670825,0.00670825,0.00335412,0.0134165
135,22130,1.42042,1.74506,0.01831,0.99992,0.65198,0.55343,0.60446,0.40692,1.34027,1.45523,0.02137,0,0.0066835,0.0066835,0.0066835,0.00334175,0.013367
136,22301.7,1.42112,1.7403,0.01824,0.99981,0.65263,0.55412,0.60479,0.40705,1.33909,1.45514,0.02135,0,0.00665875,0.00665875,0.00665875,0.00332937,0.0133175
137,22468.5,1.42279,1.73881,0.01824,0.99997,0.65116,0.5557,0.60533,0.4077,1.33835,1.45397,0.02133,0,0.006634,0.006634,0.006634,0.003317,0.013268
138,22636,1.41905,1.74298,0.01815,1.00004,0.6544,0.55374,0.60609,0.40824,1.33824,1.45166,0.02134,0,0.00660925,0.00660925,0.00660925,0.00330462,0.0132185
139,22816.1,1.42381,1.74293,0.01827,0.99995,0.65708,0.55168,0.60667,0.40886,1.33769,1.45007,0.02132,0,0.0065845,0.0065845,0.0065845,0.00329225,0.013169
140,22982.4,1.41213,1.73751,0.01812,1.00005,0.66103,0.55021,0.60703,0.40929,1.33732,1.44846,0.02132,0,0.00655975,0.00655975,0.00655975,0.00327988,0.0131195
